ohara_label,column,printed,value,source,table,printed_column,page,archive_item,pdf_page_index,note
MK,n_Ab,10.48,10.48,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,n_Ne,...,,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,n_An,15.29,15.29,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,n_Di,28.72,28.72,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,n_Hy,5.51,5.51,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,n_Ol,30.90,30.90,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,n_Il,3.04,3.04,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,n_Mt,4.10†,4.10,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,"printed ""4.10†"": includes chromite (table footnote)"
MK,n_Ap,0.34,0.34,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,n_Rest,0.10,0.10,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
MK,n_total,100.15,100.15,Carnegie Institution of Washington Year Book 63,1,MK,93,yearbookcarne63196364carn,190,
ML,SiO2,51.86,51.86,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,Al2O3,13.89,13.89,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,Fe2O3,3.00,3.00,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,FeO,8.44,8.44,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,MnO,0.14,0.14,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,MgO,6.99,6.99,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,CaO,10.77,10.77,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,Na2O,2.40,2.40,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,K2O,0.40,0.40,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,H2O+,0.01,0.01,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,H2O-,0.01,0.01,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,TiO2,2.11,2.11,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,P2O5,0.22,0.22,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,Cr2O3,...,,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,S,...,,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,F,...,,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,total,100.24,100.24,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,n_Qz,4.59,4.59,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,n_Or,2.22,2.22,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,n_Ab,20.44,20.44,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,n_Ne,...,,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,n_An,25.85,25.85,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
ML,n_Di,21.31,21.31,Carnegie Institution of Washington Year Book 63,1,ML 1935,93,yearbookcarne63196364carn,190,
